"user_id;""event_code"";""data1"";""data2"";""data3"";""timestamp"";""session_id"""
"0;""8"";""34 total bookmarks"";""6 folders"";""folder depth 1"";""1289264349209"";"""""
"0;""8"";""34 total bookmarks"";""6 folders"";""folder depth 1"";""1289267652320"";"""""
"4;""8"";""18 total bookmarks"";""2 folders"";""folder depth 1"";""1289258572961"";"""""
"6;""8"";""30 total bookmarks"";""2 folders"";""folder depth 1"";""1289258219305"";"""""
"6;""8"";""30 total bookmarks"";""2 folders"";""folder depth 1"";""1289259171028"";"""""
"6;""8"";""30 total bookmarks"";""2 folders"";""folder depth 1"";""1289261529921"";"""""
"9;""8"";""41 total bookmarks"";""2 folders"";""folder depth 1"";""1289270572317"";"""""
"12;""8"";""25 total bookmarks"";""0 folders"";""folder depth 0"";""1289260332928"";"""""
"12;""8"";""25 total bookmarks"";""0 folders"";""folder depth 0"";""1289265714279"";"""""
"14;""8"";""11 total bookmarks"";""2 folders"";""folder depth 1"";""1289253404730"";"""""
"14;""8"";""11 total bookmarks"";""2 folders"";""folder depth 1"";""1289253722617"";"""""
"14;""8"";""11 total bookmarks"";""2 folders"";""folder depth 1"";""1289255775329"";"""""
"14;""8"";""11 total bookmarks"";""2 folders"";""folder depth 1"";""1289261931208"";"""""
"17;""8"";""11 total bookmarks"";""2 folders"";""folder depth 1"";""1289256943194"";"""""
"17;""8"";""11 total bookmarks"";""2 folders"";""folder depth 1"";""1289272340524"";"""""
"18;""8"";""18 total bookmarks"";""3 folders"";""folder depth 1"";""1289256355577"";"""""
"19;""8"";""1435 total bookmarks"";""91 folders"";""folder depth 2"";""1289262235112"";"""""
"21;""8"";""80 total bookmarks"";""2 folders"";""folder depth 1"";""1289253345428"";"""""
"21;""8"";""80 total bookmarks"";""2 folders"";""folder depth 1"";""1289253907655"";"""""
"24;""8"";""9 total bookmarks"";""2 folders"";""folder depth 1"";""1289264840917"";"""""
"25;""8"";""54 total bookmarks"";""6 folders"";""folder depth 2"";""1289255217642"";"""""
"25;""8"";""54 total bookmarks"";""6 folders"";""folder depth 2"";""1289256202613"";"""""
"25;""8"";""54 total bookmarks"";""6 folders"";""folder depth 2"";""1289260478352"";"""""
"25;""8"";""54 total bookmarks"";""6 folders"";""folder depth 2"";""1289261364521"";"""""
"25;""8"";""54 total bookmarks"";""6 folders"";""folder depth 2"";""1289262905671"";"""""
"29;""8"";""68 total bookmarks"";""4 folders"";""folder depth 1"";""1289261694827"";"""""
"29;""8"";""68 total bookmarks"";""4 folders"";""folder depth 1"";""1289263055307"";"""""
"29;""8"";""68 total bookmarks"";""4 folders"";""folder depth 1"";""1289266896551"";"""""
"29;""8"";""68 total bookmarks"";""4 folders"";""folder depth 1"";""1289269083736"";"""""
"29;""8"";""68 total bookmarks"";""4 folders"";""folder depth 1"";""1289273184940"";"""""
"29;""8"";""68 total bookmarks"";""4 folders"";""folder depth 1"";""1289274199648"";"""""
"34;""8"";""102 total bookmarks"";""2 folders"";""folder depth 1"";""1289258479149"";"""""
"34;""8"";""102 total bookmarks"";""2 folders"";""folder depth 1"";""1289265304085"";"""""
"35;""8"";""21 total bookmarks"";""2 folders"";""folder depth 1"";""1289266657660"";"""""
"36;""8"";""21 total bookmarks"";""2 folders"";""folder depth 1"";""1289271874734"";"""""
"36;""8"";""21 total bookmarks"";""2 folders"";""folder depth 1"";""1289273433945"";"""""
"41;""8"";""45 total bookmarks"";""3 folders"";""folder depth 1"";""1289267854349"";"""""
